City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
30,Nanortalik,GL,60.1432,-45.2371,9.57,67,71,10.87,broken clouds
31,Kangaatsiaq,GL,68.3065,-53.4641,-6.23,86,74,2.06,broken clouds
32,Kapaa,US,22.0752,-159.319,77.11,79,100,5.59,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,78.39,66,68,11.41,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,16.11,shower rain
35,Grand Gaube,MU,-20.0064,57.6608,81.0,88,42,6.53,scattered clouds
36,Vagur,FO,61.4732,-6.8119,42.13,72,63,24.07,light rain
37,Cape Town,ZA,-33.9258,18.4232,68.34,72,0,15.68,clear sky
38,Hithadhoo,MV,-0.6,73.0833,84.06,72,100,8.48,overcast clouds
39,Souillac,MU,-20.5167,57.5167,80.98,89,40,2.3,scattered clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,83.55,83,91,5.99,overcast clouds
41,Kupino,RU,54.3663,77.2981,-4.31,100,82,5.1,broken clouds
42,Butaritari,KI,3.0707,172.7902,81.28,78,10,20.69,clear sky
43,Victoria,HK,22.2855,114.1577,73.94,92,100,5.01,overcast clouds
44,Jamestown,US,42.097,-79.2353,63.01,31,0,10.0,clear sky
45,Saldanha,ZA,-33.0117,17.9442,64.36,82,0,17.09,clear sky
46,Tula,RU,54.2044,37.6111,12.9,91,22,6.29,few clouds
47,Ushuaia,AR,-54.8,-68.3,37.81,95,100,6.62,light rain
48,Pangnirtung,CA,66.1451,-65.7125,-9.18,95,100,2.82,overcast clouds
